Symbol,Open,High,Low,PREV. CLOSE,LTP,chng,%Chng,Volume(shares),Value(₹ Crores),52W H,52W L,30 d  %chng,Today,undefined,RSI
NIFTY 50,"22,798.60","22,910.15","22,642.60","22,620.35","22,821.40",201.05,0.89,"48,04,07,175","49,046.47","23,338.70","18,555.40",0.79,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng21.620.79,0.79,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,21.62,,0.79,,,,,,,,,,,,100.00
TECHM,"1,285.00","1,323.60","1,274.20","1,266.90","1,323.00",56.10,4.43,"32,04,976",418.11,"1,416.30","1,060.10",0.37,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng16.630.37,0.37,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,16.63,,0.37,,,,,,,,,,,,100.00
HCLTECH,"1,354.00","1,399.80","1,350.90","1,343.70","1,396.00",52.30,3.89,"59,36,683",822.11,"1,697.35","1,087.05",-1.11,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng19.06-1.11,-1.11,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,19.06,,-1.11,,,,,,,,,,,,100.00
SHRIRAMFIN,"2,430.00","2,535.00","2,400.05","2,387.45","2,476.00",88.55,3.71,"21,00,297",520.31,"2,658.00","1,385.75",-6.28,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng69.45-6.28,-6.28,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,69.45,,-6.28,,,,,,,,,,,,100.00
SBILIFE,"1,390.10","1,445.80","1,380.25","1,390.10","1,438.45",48.35,3.48,"22,27,019",318.19,"1,569.40","1,210.10",-3.51,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng13.66-3.51,-3.51,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,13.66,,-3.51,,,,,,,,,,,,100.00
SBIN,800.00,833.35,796.00,789.75,817.00,27.25,3.45,"4,05,55,335","3,321.36",912.00,543.20,-2.23,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng34.92-2.23,-2.23,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,34.92,,-2.23,,,,,,,,,,,,100.00
INFY,"1,444.95","1,474.30","1,437.50","1,430.10","1,473.00",42.90,3.00,"1,26,60,812","1,849.38","1,733.00","1,262.25",0.29,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng11.810.29,0.29,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,11.81,,0.29,,,,,,,,,,,,100.00
NTPC,347.80,359.75,345.00,341.00,351.10,10.10,2.96,"3,31,71,012","1,169.38",393.20,173.55,-4.43,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng94.41-4.43,-4.43,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,94.41,,-4.43,,,,,,,,,,,,100.00
COALINDIA,470.00,484.40,464.65,460.55,473.95,13.40,2.91,"2,17,57,638","1,033.34",527.40,223.25,-0.01,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng102.17-0.01,-0.01,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,102.17,,-0.01,,,,,,,,,,,,100.00
EICHERMOT,"4,579.00","4,727.00","4,538.30","4,579.00","4,711.00",132.00,2.88,"7,48,909",349.36,"4,908.00","3,160.00",-0.43,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng23.59-0.43,-0.43,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,23.59,,-0.43,,,,,,,,,,,,100.00
LTIM,"4,740.00","4,819.00","4,703.00","4,688.85","4,818.00",129.15,2.75,"6,22,901",297.04,"6,442.00","4,513.55",-0.32,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-4.01-0.32,-0.32,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-4.01,,-0.32,,,,,,,,,,,,100.00
LT,"3,438.00","3,538.20","3,385.30","3,409.00","3,496.00",87.00,2.55,"83,74,597","2,915.03","3,919.90","2,263.70",-1.57,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng49.65-1.57,-1.57,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,49.65,,-1.57,,,,,,,,,,,,100.00
ONGC,254.00,259.50,249.25,247.50,253.50,6.00,2.42,"3,08,80,929",785.02,292.95,152.55,-12.28,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng61.08-12.28,-12.28,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,61.08,,-12.28,,,,,,,,,,,,100.00
TCS,"3,781.00","3,839.90","3,741.50","3,746.45","3,836.00",89.55,2.39,"43,27,943","1,643.13","4,254.75","3,156.00",-4.45,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng15.91-4.45,-4.45,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,15.91,,-4.45,,,,,,,,,,,,100.00
WIPRO,454.95,462.00,452.60,451.50,461.60,10.10,2.24,"77,12,593",353.38,545.90,375.05,-1.56,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng12.89-1.56,-1.56,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,12.89,,-1.56,,,,,,,,,,,,100.00
BHARTIARTL,"1,359.00","1,376.25","1,329.00","1,344.35","1,374.00",29.65,2.21,"1,02,79,759","1,396.14","1,420.45",819.00,4.75,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng62.084.75,4.75,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,62.08,,4.75,,,,,,,,,,,,100.00
ADANIENT,"3,184.00","3,222.40","3,137.15","3,115.35","3,181.60",66.25,2.13,"58,73,218","1,871.36","3,743.90","2,142.00",8.37,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng28.018.37,8.37,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,28.01,,8.37,,,,,,,,,,,,100.00
TATASTEEL,170.00,174.70,169.40,169.20,172.15,2.95,1.74,"5,79,20,059",998.14,177.70,108.10,0.95,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng55.230.95,0.95,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,55.23,,0.95,,,,,,,,,,,,100.00
MARUTI,"12,511.55","12,690.00","12,468.00","12,502.60","12,684.50",181.90,1.45,"4,47,534",564.68,"13,073.95","9,254.15",0.51,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng28.410.51,0.51,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,28.41,,0.51,,,,,,,,,,,,100.00
GRASIM,"2,306.05","2,353.00","2,293.10","2,304.85","2,337.80",32.95,1.43,"8,34,320",193.95,"2,489.75","1,696.00",-6.05,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng30.48-6.05,-6.05,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,30.48,,-6.05,,,,,,,,,,,,100.00
ITC,436.00,437.70,431.10,430.30,436.40,6.10,1.42,"3,11,19,344","1,351.61",499.70,399.35,-1.02,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-2.82-1.02,-1.02,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-2.82,,-1.02,,,,,,,,,,,,100.00
DRREDDY,"5,835.00","5,926.00","5,781.60","5,824.15","5,899.40",75.25,1.29,"7,19,676",422.30,"6,505.90","4,605.00",-7.46,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng25.61-7.46,-7.46,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,25.61,,-7.46,,,,,,,,,,,,100.00
BAJFINANCE,"6,850.00","7,012.95","6,822.30","6,836.65","6,924.00",87.35,1.28,"14,65,706","1,016.11","8,192.00","6,187.80",-0.34,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-3.90-0.34,-0.34,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-3.90,,-0.34,,,,,,,,,,,,100.00
RELIANCE,"2,870.00","2,887.40","2,842.70","2,841.50","2,872.00",30.50,1.07,"89,27,855","2,553.79","3,029.00","2,220.30",0.09,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng14.610.09,0.09,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,14.61,,0.09,,,,,,,,,,,,100.00
POWERGRID,303.40,311.45,298.10,298.80,302.00,3.20,1.07,"3,65,07,843","1,109.29",348.70,175.84,-2.62,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng26.99-2.62,-2.62,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,26.99,,-2.62,,,,,,,,,,,,100.00
